[2025-12-19 17:57:07.855336] Comen ant entrenament de la xarxa.
Neurones d'entrada: 2
Neurones de capes ocultes: 16
Capes ocultes: 2
Neurones de sortida: 1
Taxa d'aprenentatge: 0.001
Deca ment de pesos: 0.0001
Funci  de p rdua: Binary Cross Entropy Loss
Optimitzador: Adam
 poques: 200
[2025-12-19 17:57:08.142993]  poca 01   train loss: 0.4540   val loss: 0.4140
[2025-12-19 17:57:29.695820]  poca 103   train loss: 0.0653   val loss: 0.0855
[2025-12-19 17:57:29.902831]  poca 104   train loss: 0.0415   val loss: 0.0786
[2025-12-19 17:57:30.104151]  poca 105   train loss: 0.0762   val loss: 0.0838
[2025-12-19 17:57:30.323637]  poca 106   train loss: 0.0200   val loss: 0.0910
[2025-12-19 17:57:30.527224]  poca 107   train loss: 0.0835   val loss: 0.0843
[2025-12-19 17:57:30.729094]  poca 108   train loss: 0.0979   val loss: 0.0806
[2025-12-19 17:57:30.930899]  poca 109   train loss: 0.0575   val loss: 0.0906
[2025-12-19 17:57:31.122183]  poca 110   train loss: 0.0801   val loss: 0.0868
[2025-12-19 17:57:31.318588]  poca 111   train loss: 0.1030   val loss: 0.0975
[2025-12-19 17:57:31.518462]  poca 112   train loss: 0.0786   val loss: 0.0847
[2025-12-19 17:57:31.714894]  poca 113   train loss: 0.0383   val loss: 0.0840
[2025-12-19 17:57:31.915854]  poca 114   train loss: 0.0575   val loss: 0.0880
[2025-12-19 17:57:32.117953]  poca 115   train loss: 0.1612   val loss: 0.0776
[2025-12-19 17:57:32.327121]  poca 116   train loss: 0.0769   val loss: 0.0826
[2025-12-19 17:57:32.526122]  poca 117   train loss: 0.1832   val loss: 0.0819
[2025-12-19 17:57:32.730291]  poca 118   train loss: 0.0688   val loss: 0.0929
[2025-12-19 17:57:32.930532]  poca 119   train loss: 0.0781   val loss: 0.0793
[2025-12-19 17:57:33.161096]  poca 120   train loss: 0.0597   val loss: 0.0824
[2025-12-19 17:57:33.358525]  poca 121   train loss: 0.0608   val loss: 0.0861
[2025-12-19 17:57:33.554875]  poca 122   train loss: 0.1493   val loss: 0.0821
[2025-12-19 17:57:33.763206]  poca 123   train loss: 0.0631   val loss: 0.0852
[2025-12-19 17:57:33.967789]  poca 124   train loss: 0.0597   val loss: 0.0808
[2025-12-19 17:57:34.175057]  poca 125   train loss: 0.1069   val loss: 0.0778
[2025-12-19 17:57:34.376595]  poca 126   train loss: 0.1414   val loss: 0.0938
[2025-12-19 17:57:34.572573]  poca 127   train loss: 0.0968   val loss: 0.0781
[2025-12-19 17:57:34.778027]  poca 128   train loss: 0.1091   val loss: 0.0785
[2025-12-19 17:57:34.976361]  poca 129   train loss: 0.0819   val loss: 0.0761
[2025-12-19 17:57:35.190583]  poca 130   train loss: 0.0430   val loss: 0.0785
[2025-12-19 17:57:35.400080]  poca 131   train loss: 0.0520   val loss: 0.0848
[2025-12-19 17:57:35.603798]  poca 132   train loss: 0.1112   val loss: 0.0879
[2025-12-19 17:57:35.797037]  poca 133   train loss: 0.0266   val loss: 0.0820
[2025-12-19 17:57:35.993368]  poca 134   train loss: 0.0063   val loss: 0.1082
[2025-12-19 17:57:36.190279]  poca 135   train loss: 0.0707   val loss: 0.0820
[2025-12-19 17:57:36.392428]  poca 136   train loss: 0.1174   val loss: 0.0852
[2025-12-19 17:57:36.600373]  poca 137   train loss: 0.0083   val loss: 0.0864
[2025-12-19 17:57:36.795089]  poca 138   train loss: 0.1474   val loss: 0.0769
[2025-12-19 17:57:36.991631]  poca 139   train loss: 0.1738   val loss: 0.0835
[2025-12-19 17:57:37.199357]  poca 140   train loss: 0.0392   val loss: 0.0780
[2025-12-19 17:57:37.391143]  poca 141   train loss: 0.0293   val loss: 0.0777
[2025-12-19 17:57:37.589710]  poca 142   train loss: 0.0757   val loss: 0.0806
[2025-12-19 17:57:37.782413]  poca 143   train loss: 0.0965   val loss: 0.1020
[2025-12-19 17:57:37.979529]  poca 144   train loss: 0.0518   val loss: 0.0888
[2025-12-19 17:57:38.183634]  poca 145   train loss: 0.0753   val loss: 0.0835
[2025-12-19 17:57:38.395489]  poca 146   train loss: 0.1467   val loss: 0.0815
[2025-12-19 17:57:38.596735]  poca 147   train loss: 0.0219   val loss: 0.0838
[2025-12-19 17:57:38.794402]  poca 148   train loss: 0.0572   val loss: 0.0743
[2025-12-19 17:57:38.996412]  poca 149   train loss: 0.0163   val loss: 0.0765
[2025-12-19 17:57:39.190878]  poca 150   train loss: 0.0095   val loss: 0.0843
[2025-12-19 17:57:39.395139]  poca 151   train loss: 0.0781   val loss: 0.0885
[2025-12-19 17:57:39.587845]  poca 152   train loss: 0.0386   val loss: 0.0834
[2025-12-19 17:57:39.786277]  poca 153   train loss: 0.0741   val loss: 0.0836
[2025-12-19 17:57:39.989631]  poca 154   train loss: 0.0238   val loss: 0.0818
[2025-12-19 17:57:40.195435]  poca 155   train loss: 0.0622   val loss: 0.0761
[2025-12-19 17:57:40.417125]  poca 156   train loss: 0.0544   val loss: 0.0831
[2025-12-19 17:57:40.636566]  poca 157   train loss: 0.0536   val loss: 0.0878
[2025-12-19 17:57:40.839778]  poca 158   train loss: 0.0100   val loss: 0.0838
[2025-12-19 17:57:41.048459]  poca 159   train loss: 0.0312   val loss: 0.0840
[2025-12-19 17:57:41.257300]  poca 160   train loss: 0.0909   val loss: 0.0791
[2025-12-19 17:57:41.455568]  poca 161   train loss: 0.0268   val loss: 0.0844
[2025-12-19 17:57:41.667813]  poca 162   train loss: 0.0622   val loss: 0.0805
[2025-12-19 17:57:41.869981]  poca 163   train loss: 0.0836   val loss: 0.0936
[2025-12-19 17:57:42.078836]  poca 164   train loss: 0.2099   val loss: 0.0848
[2025-12-19 17:57:42.276684]  poca 165   train loss: 0.0211   val loss: 0.0773
[2025-12-19 17:57:42.479688]  poca 166   train loss: 0.1162   val loss: 0.0806
[2025-12-19 17:57:42.679547]  poca 167   train loss: 0.0739   val loss: 0.0773
[2025-12-19 17:57:42.884197]  poca 168   train loss: 0.0674   val loss: 0.0743
[2025-12-19 17:57:43.083958]  poca 169   train loss: 0.1378   val loss: 0.0740
[2025-12-19 17:57:43.283906]  poca 170   train loss: 0.2324   val loss: 0.0830
[2025-12-19 17:57:43.489644]  poca 171   train loss: 0.0422   val loss: 0.0986
[2025-12-19 17:57:43.694152]  poca 172   train loss: 0.1877   val loss: 0.0766
[2025-12-19 17:57:43.896705]  poca 173   train loss: 0.0210   val loss: 0.0791
[2025-12-19 17:57:44.100101]  poca 174   train loss: 0.0253   val loss: 0.0866
[2025-12-19 17:57:44.294853]  poca 175   train loss: 0.0908   val loss: 0.0785
[2025-12-19 17:57:44.492620]  poca 176   train loss: 0.1064   val loss: 0.0838
[2025-12-19 17:57:44.687291]  poca 177   train loss: 0.0138   val loss: 0.0826
[2025-12-19 17:57:44.889762]  poca 178   train loss: 0.0695   val loss: 0.0896
[2025-12-19 17:57:45.093422]  poca 179   train loss: 0.0301   val loss: 0.0818
[2025-12-19 17:57:45.289336]  poca 180   train loss: 0.0732   val loss: 0.0760
[2025-12-19 17:57:45.501470]  poca 181   train loss: 0.0763   val loss: 0.0808
[2025-12-19 17:57:45.712199]  poca 182   train loss: 0.0436   val loss: 0.0830
[2025-12-19 17:57:45.931551]  poca 183   train loss: 0.1744   val loss: 0.0852
[2025-12-19 17:57:46.148427]  poca 184   train loss: 0.0377   val loss: 0.1012
[2025-12-19 17:57:46.356125]  poca 185   train loss: 0.0972   val loss: 0.0759
[2025-12-19 17:57:46.544960]  poca 186   train loss: 0.0535   val loss: 0.0767
[2025-12-19 17:57:46.749470]  poca 187   train loss: 0.0257   val loss: 0.0752
[2025-12-19 17:57:46.997335]  poca 188   train loss: 0.0511   val loss: 0.0758
[2025-12-19 17:57:47.201021]  poca 189   train loss: 0.0313   val loss: 0.0813
[2025-12-19 17:57:47.202083] Early stopping activat.
[2025-12-19 17:57:47.218770] Test Loss: 0.0792, Percentatje d'encert: 0.9640
Comen ant entrenament de la xarxa.
Neurones d'entrada: 2
Neurones de capes ocultes: 16
Capes ocultes: 2
Neurones de sortida: 1
Taxa d'aprenentatge: 0.001
Deca ment de pesos: 0.0001
Funci  de p rdua: Binary Cross Entropy Loss
Optimitzador: Adam
 poques: 200
 poca 01   train loss: 0.3492   val loss: 0.4166
 poca 02   train loss: 0.4775   val loss: 0.3777
 poca 03   train loss: 0.3155   val loss: 0.3421
 poca 04   train loss: 0.2277   val loss: 0.3145
 poca 05   train loss: 0.1511   val loss: 0.2813
 poca 06   train loss: 0.3691   val loss: 0.2561
 poca 07   train loss: 0.3344   val loss: 0.2362
 poca 08   train loss: 0.2155   val loss: 0.2259
 poca 09   train loss: 0.1499   val loss: 0.2163
 poca 10   train loss: 0.1902   val loss: 0.2003
 poca 11   train loss: 0.2820   val loss: 0.1948
 poca 12   train loss: 0.2277   val loss: 0.1912
 poca 13   train loss: 0.1608   val loss: 0.1823
 poca 14   train loss: 0.3104   val loss: 0.1745
 poca 15   train loss: 0.2327   val loss: 0.1730
 poca 16   train loss: 0.2114   val loss: 0.1784
 poca 17   train loss: 0.2087   val loss: 0.1723
 poca 18   train loss: 0.2106   val loss: 0.1610
 poca 19   train loss: 0.1736   val loss: 0.1768
 poca 20   train loss: 0.2539   val loss: 0.1577
 poca 21   train loss: 0.1221   val loss: 0.1618
 poca 22   train loss: 0.1040   val loss: 0.1576
 poca 23   train loss: 0.1430   val loss: 0.1498
 poca 24   train loss: 0.1302   val loss: 0.1472
 poca 25   train loss: 0.3701   val loss: 0.1545
 poca 26   train loss: 0.1038   val loss: 0.1441
 poca 27   train loss: 0.1041   val loss: 0.1423
 poca 28   train loss: 0.1346   val loss: 0.1457
 poca 29   train loss: 0.1058   val loss: 0.1407
 poca 30   train loss: 0.1351   val loss: 0.1400
 poca 31   train loss: 0.0963   val loss: 0.1465
 poca 32   train loss: 0.0529   val loss: 0.1447
 poca 33   train loss: 0.0539   val loss: 0.1399
 poca 34   train loss: 0.1099   val loss: 0.1322
 poca 35   train loss: 0.2342   val loss: 0.1303
 poca 36   train loss: 0.1920   val loss: 0.1389
 poca 37   train loss: 0.1825   val loss: 0.1481
 poca 38   train loss: 0.1166   val loss: 0.1287
 poca 39   train loss: 0.1345   val loss: 0.1363
 poca 40   train loss: 0.0714   val loss: 0.1264
 poca 41   train loss: 0.1688   val loss: 0.1361
 poca 42   train loss: 0.2114   val loss: 0.1260
 poca 43   train loss: 0.0371   val loss: 0.1373
 poca 44   train loss: 0.1149   val loss: 0.1239
 poca 45   train loss: 0.0896   val loss: 0.1264
 poca 46   train loss: 0.1315   val loss: 0.1280
 poca 47   train loss: 0.0708   val loss: 0.1238
 poca 48   train loss: 0.0703   val loss: 0.1334
 poca 49   train loss: 0.1419   val loss: 0.1241
 poca 50   train loss: 0.1090   val loss: 0.1230
 poca 51   train loss: 0.1488   val loss: 0.1244
 poca 52   train loss: 0.1810   val loss: 0.1297
 poca 53   train loss: 0.0522   val loss: 0.1265
 poca 54   train loss: 0.1112   val loss: 0.1261
 poca 55   train loss: 0.1396   val loss: 0.1179
 poca 56   train loss: 0.0978   val loss: 0.1181
 poca 57   train loss: 0.0798   val loss: 0.1254
 poca 58   train loss: 0.1099   val loss: 0.1244
 poca 59   train loss: 0.0502   val loss: 0.1133
 poca 60   train loss: 0.0519   val loss: 0.1251
 poca 61   train loss: 0.0750   val loss: 0.1243
 poca 62   train loss: 0.0600   val loss: 0.1198
 poca 63   train loss: 0.0775   val loss: 0.1180
 poca 64   train loss: 0.1119   val loss: 0.1227
 poca 65   train loss: 0.1294   val loss: 0.1128
 poca 66   train loss: 0.0227   val loss: 0.1174
 poca 67   train loss: 0.0940   val loss: 0.1194
 poca 68   train loss: 0.1068   val loss: 0.1189
 poca 69   train loss: 0.0339   val loss: 0.1209
 poca 70   train loss: 0.1914   val loss: 0.1113
 poca 71   train loss: 0.2068   val loss: 0.1114
 poca 72   train loss: 0.1035   val loss: 0.1169
 poca 73   train loss: 0.0723   val loss: 0.1092
 poca 74   train loss: 0.0536   val loss: 0.1128
 poca 75   train loss: 0.0755   val loss: 0.1054
 poca 76   train loss: 0.0809   val loss: 0.1103
 poca 77   train loss: 0.0399   val loss: 0.1108
 poca 78   train loss: 0.0465   val loss: 0.1139
 poca 79   train loss: 0.0521   val loss: 0.1176
 poca 80   train loss: 0.0618   val loss: 0.1129
 poca 81   train loss: 0.0547   val loss: 0.1115
 poca 82   train loss: 0.0766   val loss: 0.1102
 poca 83   train loss: 0.1273   val loss: 0.1076
 poca 84   train loss: 0.0947   val loss: 0.1019
 poca 85   train loss: 0.1332   val loss: 0.1020
 poca 86   train loss: 0.1220   val loss: 0.1088
 poca 87   train loss: 0.1422   val loss: 0.1024
 poca 88   train loss: 0.0729   val loss: 0.1157
 poca 89   train loss: 0.2646   val loss: 0.1054
 poca 90   train loss: 0.0406   val loss: 0.1090
 poca 91   train loss: 0.0652   val loss: 0.1022
 poca 92   train loss: 0.0518   val loss: 0.1135
 poca 93   train loss: 0.2404   val loss: 0.1127
 poca 94   train loss: 0.2539   val loss: 0.1142
 poca 95   train loss: 0.0868   val loss: 0.1080
 poca 96   train loss: 0.1170   val loss: 0.1063
 poca 97   train loss: 0.0952   val loss: 0.1061
 poca 98   train loss: 0.1199   val loss: 0.1134
 poca 99   train loss: 0.0602   val loss: 0.1065
 poca 100   train loss: 0.0813   val loss: 0.0988
 poca 101   train loss: 0.1112   val loss: 0.1049
 poca 102   train loss: 0.1863   val loss: 0.1024
 poca 103   train loss: 0.1168   val loss: 0.0988
 poca 104   train loss: 0.0365   val loss: 0.0985
 poca 105   train loss: 0.1917   val loss: 0.1006
 poca 106   train loss: 0.0442   val loss: 0.1010
 poca 107   train loss: 0.1899   val loss: 0.1027
 poca 108   train loss: 0.1273   val loss: 0.0975
 poca 109   train loss: 0.1866   val loss: 0.1089
 poca 110   train loss: 0.1755   val loss: 0.0953
 poca 111   train loss: 0.0747   val loss: 0.1087
 poca 112   train loss: 0.0783   val loss: 0.0985
 poca 113   train loss: 0.0755   val loss: 0.0981
 poca 114   train loss: 0.1583   val loss: 0.0942
 poca 115   train loss: 0.0646   val loss: 0.1017
 poca 116   train loss: 0.0701   val loss: 0.0979
 poca 117   train loss: 0.0673   val loss: 0.0943
 poca 118   train loss: 0.1770   val loss: 0.0967
 poca 119   train loss: 0.0326   val loss: 0.0965
 poca 120   train loss: 0.0670   val loss: 0.0938
 poca 121   train loss: 0.2368   val loss: 0.1035
 poca 122   train loss: 0.0723   val loss: 0.1143
 poca 123   train loss: 0.0456   val loss: 0.0980
 poca 124   train loss: 0.1239   val loss: 0.0950
 poca 125   train loss: 0.0337   val loss: 0.0966
 poca 126   train loss: 0.0968   val loss: 0.0947
 poca 127   train loss: 0.0835   val loss: 0.0964
 poca 128   train loss: 0.0706   val loss: 0.0970
 poca 129   train loss: 0.1715   val loss: 0.1012
 poca 130   train loss: 0.0924   val loss: 0.1185
 poca 131   train loss: 0.0501   val loss: 0.1050
 poca 132   train loss: 0.0773   val loss: 0.1005
 poca 133   train loss: 0.1641   val loss: 0.1031
 poca 134   train loss: 0.1239   val loss: 0.0984
 poca 135   train loss: 0.0130   val loss: 0.0991
 poca 136   train loss: 0.0943   val loss: 0.0980
 poca 137   train loss: 0.0258   val loss: 0.0998
 poca 138   train loss: 0.0997   val loss: 0.1001
 poca 139   train loss: 0.0625   val loss: 0.0927
 poca 140   train loss: 0.1639   val loss: 0.0974
 poca 141   train loss: 0.0534   val loss: 0.0958
 poca 142   train loss: 0.0489   val loss: 0.0960
 poca 143   train loss: 0.0486   val loss: 0.0964
 poca 144   train loss: 0.0647   val loss: 0.0917
 poca 145   train loss: 0.0416   val loss: 0.0926
 poca 146   train loss: 0.0350   val loss: 0.0891
 poca 147   train loss: 0.0468   val loss: 0.0935
 poca 148   train loss: 0.1217   val loss: 0.1008
 poca 149   train loss: 0.0533   val loss: 0.0967
 poca 150   train loss: 0.0842   val loss: 0.0964
 poca 151   train loss: 0.0889   val loss: 0.1022
 poca 152   train loss: 0.0323   val loss: 0.0918
 poca 153   train loss: 0.0344   val loss: 0.0971
 poca 154   train loss: 0.0652   val loss: 0.0914
 poca 155   train loss: 0.0989   val loss: 0.0881
 poca 156   train loss: 0.1460   val loss: 0.1056
 poca 157   train loss: 0.1062   val loss: 0.1032
 poca 158   train loss: 0.0935   val loss: 0.0923
 poca 159   train loss: 0.0571   val loss: 0.1037
 poca 160   train loss: 0.0800   val loss: 0.0951
 poca 161   train loss: 0.0980   val loss: 0.0916
 poca 162   train loss: 0.1144   val loss: 0.0979
 poca 163   train loss: 0.1821   val loss: 0.0981
 poca 164   train loss: 0.0553   val loss: 0.1000
 poca 165   train loss: 0.0921   val loss: 0.1068
 poca 166   train loss: 0.1173   val loss: 0.0936
 poca 167   train loss: 0.0325   val loss: 0.0908
 poca 168   train loss: 0.0365   val loss: 0.0892
 poca 169   train loss: 0.1878   val loss: 0.0920
 poca 170   train loss: 0.0450   val loss: 0.1033
 poca 171   train loss: 0.0768   val loss: 0.0973
 poca 172   train loss: 0.1082   val loss: 0.0925
 poca 173   train loss: 0.0850   val loss: 0.0896
 poca 174   train loss: 0.0965   val loss: 0.0977
 poca 175   train loss: 0.0890   val loss: 0.0921
Early stopping activat.
Comen ant entrenament de la xarxa.
Neurones d'entrada: 2
Neurones de capes ocultes: 16
Capes ocultes: 2
Neurones de sortida: 1
Taxa d'aprenentatge: 0.001
Deca ment de pesos: 0.0001
Funci  de p rdua: Binary Cross Entropy Loss
Optimitzador: Adam
 poques: 200
 poca 01   train loss: 0.4835   val loss: 0.4686
 poca 02   train loss: 0.4869   val loss: 0.4289
 poca 03   train loss: 0.3607   val loss: 0.3965
 poca 04   train loss: 0.4554   val loss: 0.3643
 poca 05   train loss: 0.4186   val loss: 0.3314
 poca 06   train loss: 0.3325   val loss: 0.2998
 poca 07   train loss: 0.3128   val loss: 0.2612
 poca 08   train loss: 0.2401   val loss: 0.2395
 poca 09   train loss: 0.1849   val loss: 0.2271
 poca 10   train loss: 0.3526   val loss: 0.2061
 poca 11   train loss: 0.1635   val loss: 0.1892
 poca 12   train loss: 0.1111   val loss: 0.1852
 poca 13   train loss: 0.2330   val loss: 0.1733
 poca 14   train loss: 0.1182   val loss: 0.1792
 poca 15   train loss: 0.1111   val loss: 0.1563
 poca 16   train loss: 0.1989   val loss: 0.1556
 poca 17   train loss: 0.1616   val loss: 0.1474
 poca 18   train loss: 0.2077   val loss: 0.1574
 poca 19   train loss: 0.1007   val loss: 0.1437
 poca 20   train loss: 0.1800   val loss: 0.1365
 poca 21   train loss: 0.1080   val loss: 0.1372
 poca 22   train loss: 0.1906   val loss: 0.1364
